state,joint_action,q
A0:9:1:1|A1:0:0:1|A2:8:1:1|A3:9:2:1$P4:5:5:2:0|P5:8:3:1:0|P6:2:7:3:0|P7:10:6:1:0,"2,1,2,1",0.0
A0:9:1:1|A1:0:0:1|A2:8:1:1|A3:9:2:1$P4:5:5:2:0|P5:8:3:1:0|P6:2:7:3:0|P7:10:6:1:0,"2,3,3,3",0.0
A0:9:1:1|A1:0:0:1|A2:8:1:1|A3:9:2:1$P4:5:5:2:0|P5:8:3:1:0|P6:2:7:3:0|P7:10:6:1:0,"1,3,2,2",0.0
A0:9:1:1|A1:0:0:1|A2:8:1:1|A3:9:2:1$P4:5:5:2:0|P5:8:3:1:0|P6:2:7:3:0|P7:10:6:1:0,"0,1,3,3",0.0
A0:9:1:1|A1:0:0:1|A2:8:1:1|A3:9:2:1$P4:5:5:2:0|P5:8:3:1:0|P6:2:7:3:0|P7:10:6:1:0,"1,3,2,1",0.0
A0:9:1:1|A1:0:0:1|A2:8:1:1|A3:9:2:1$P4:5:5:2:0|P5:8:3:1:0|P6:2:7:3:0|P7:10:6:1:0,"0,0,3,0",0.0
A0:9:0:1|A1:1:0:1|A2:7:1:1|A3:8:2:1$P4:5:5:2:0|P5:8:3:1:0|P6:2:7:3:0|P7:10:6:1:0,"2,2,0,3",0.0
A0:9:0:1|A1:1:0:1|A2:7:1:1|A3:8:2:1$P4:5:5:2:0|P5:8:3:1:0|P6:2:7:3:0|P7:10:6:1:0,"2,1,2,0",0.0
A0:9:0:1|A1:1:0:1|A2:7:1:1|A3:8:2:1$P4:5:5:2:0|P5:8:3:1:0|P6:2:7:3:0|P7:10:6:1:0,"1,3,0,1",0.0
A0:9:0:1|A1:1:0:1|A2:7:1:1|A3:8:2:1$P4:5:5:2:0|P5:8:3:1:0|P6:2:7:3:0|P7:10:6:1:0,"1,1,1,2",0.0
A0:9:0:1|A1:1:0:1|A2:7:1:1|A3:8:2:1$P4:5:5:2:0|P5:8:3:1:0|P6:2:7:3:0|P7:10:6:1:0,"1,3,1,0",0.1
A0:9:0:1|A1:1:0:1|A2:7:1:1|A3:8:2:2$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:0,"3,2,0,1",0.0
A0:9:0:1|A1:1:0:1|A2:7:1:1|A3:8:2:2$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:0,"3,0,1,2",0.0
A0:9:0:1|A1:1:0:1|A2:7:1:1|A3:8:2:2$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:0,"1,3,1,1",0.0
A0:9:0:1|A1:1:0:1|A2:7:1:1|A3:8:2:2$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:0,"1,2,2,0",0.0
A0:9:0:1|A1:1:0:1|A2:7:1:1|A3:8:2:2$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:0,"1,1,1,2",0.0
A0:9:0:1|A1:1:0:1|A2:7:2:1|A3:8:1:2$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:0,"1,3,2,2",0.0
A0:10:0:1|A1:0:0:1|A2:7:2:1|A3:8:1:2$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:0,"2,0,0,1",0.0
A0:10:0:1|A1:0:0:1|A2:7:2:1|A3:8:1:2$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:0,"1,1,3,0",0.0
A0:10:0:1|A1:0:0:1|A2:7:2:1|A3:8:1:2$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:0,"1,2,0,0",0.0
A0:10:0:1|A1:0:0:1|A2:7:2:1|A3:8:1:2$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:0,"2,2,0,2",0.0
A0:10:0:1|A1:0:0:1|A2:7:2:1|A3:8:1:2$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:0,"0,3,0,1",0.0
A0:10:0:1|A1:0:0:1|A2:7:2:1|A3:8:1:2$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:0,"1,0,2,1",0.0
A0:10:0:1|A1:0:0:1|A2:7:2:1|A3:8:1:2$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:0,"2,0,2,2",0.0
