t,d_r0_r1,d_r1_r2,d_r2_r3,d_r3_r4
0.1,2.127,6.006,6.229,5.744
0.2,2.127,5.961,6.239,5.744
0.3,2.127,5.912,6.244,5.744
0.4,2.127,5.859,6.244,5.744
0.5,2.127,5.801,6.241,5.744
0.6,2.127,5.739,6.234,5.744
0.7,2.127,5.696,6.234,5.744
0.8,2.127,5.646,6.234,5.744
0.9,2.127,5.592,6.234,5.744
1.0,2.127,5.534,6.234,5.744
1.1,2.127,5.475,6.234,5.744
1.2,2.127,5.416,6.234,5.744
1.3,2.125,5.358,6.234,5.744
1.4,2.121,5.303,6.234,5.744
1.5,2.115,5.253,6.234,5.744
1.6,2.107,5.209,6.234,5.744
1.7,2.096,5.171,6.234,5.71
1.8,2.084,5.141,6.234,5.678
1.9,2.07,5.119,6.234,5.649
2.0,2.054,5.104,6.234,5.621
2.1,2.039,5.097,6.233,5.596
2.2,2.025,5.091,6.232,5.572
2.3,2.012,5.087,6.23,5.55
2.4,2.002,5.083,6.225,5.527
2.5,1.993,5.08,6.218,5.504
2.6,1.985,5.076,6.208,5.479
2.7,1.979,5.073,6.193,5.453
2.8,1.975,5.069,6.174,5.423
2.9,1.973,5.064,6.151,5.391
3.0,1.973,5.06,6.122,5.356
3.1,1.975,5.055,6.089,5.318
3.2,1.979,5.051,6.052,5.278
3.3,1.984,5.045,6.01,5.234
3.4,1.988,5.037,5.965,5.189
3.5,1.993,5.027,5.916,5.141
3.6,1.998,5.016,5.863,5.09
3.7,2.002,5.003,5.807,5.038
3.8,2.007,4.989,5.748,4.983
3.9,2.011,4.973,5.686,4.927
4.0,2.014,4.957,5.621,4.869
4.1,2.017,4.941,5.554,4.809
4.2,2.02,4.923,5.485,4.748
4.3,2.022,4.905,5.414,4.687
4.4,2.024,4.887,5.341,4.624
4.5,2.024,4.866,5.267,4.56
4.6,2.024,4.844,5.191,4.496
4.7,2.024,4.82,5.115,4.431
4.8,2.023,4.795,5.039,4.365
4.9,2.022,4.769,4.963,4.3
5.0,2.021,4.741,4.886,4.235
5.1,2.02,4.711,4.808,4.169
5.2,2.019,4.68,4.73,4.103
5.3,2.02,4.647,4.65,4.038
5.4,2.022,4.612,4.569,3.973
5.5,2.025,4.576,4.488,3.907
5.6,2.028,4.544,4.407,3.842
5.7,2.03,4.516,4.326,3.778
5.8,2.031,4.492,4.246,3.713
5.9,2.032,4.472,4.166,3.649
6.0,2.033,4.454,4.088,3.584
6.1,2.033,4.44,4.009,3.52
6.2,2.033,4.428,3.932,3.456
6.3,2.033,4.419,3.855,3.392
6.4,2.033,4.412,3.778,3.329
6.5,2.033,4.406,3.702,3.265
6.6,2.034,4.401,3.626,3.202
6.7,2.034,4.395,3.549,3.138
6.8,2.034,4.389,3.471,3.075
6.9,2.033,4.384,3.392,3.012
7.0,2.033,4.378,3.313,2.95
7.1,2.033,4.372,3.235,2.887
7.2,2.033,4.367,3.158,2.825
7.3,2.029,4.362,3.082,2.763
7.4,2.016,4.356,3.006,2.702
7.5,1.994,4.351,2.93,2.64
7.6,1.964,4.346,2.856,2.579
7.7,1.927,4.342,2.781,2.518
7.8,1.883,4.34,2.707,2.457
7.9,1.835,4.339,2.633,2.396
8.0,1.781,4.338,2.56,2.335
8.1,1.722,4.338,2.485,2.275
8.2,1.66,4.338,2.408,2.216
8.3,1.595,4.338,2.329,2.157
8.4,1.526,4.338,2.251,2.098
8.5,1.456,4.339,2.174,2.041
8.6,1.383,4.34,2.098,1.983
8.7,1.309,4.341,2.023,1.927
8.8,1.232,4.343,1.949,1.871
8.9,1.154,4.345,1.876,1.816
9.0,1.076,4.344,1.803,1.761
9.1,1.002,4.337,1.731,1.708
9.2,0.933,4.323,1.66,1.655
9.3,0.869,4.305,1.59,1.603
9.4,1.067,1.52,3.657,0.808
9.5,1.068,1.451,3.636,0.839
9.6,1.069,1.364,3.622,0.868
9.7,1.071,1.26,3.618,0.896
9.8,1.072,1.138,3.623,0.921
9.9,1.071,1.012,3.643,0.945
10.0,1.066,0.89,3.676,0.966
10.1,1.06,0.773,3.718,0.985
10.2,1.056,0.665,3.766,1.002
10.3,1.057,0.568,3.817,1.018
10.4,1.066,0.482,3.868,1.032
10.5,1.084,0.408,3.917,1.044
10.6,1.113,0.343,3.963,1.055
10.7,1.154,0.289,4.003,1.064
10.8,1.206,0.244,4.039,1.067
10.9,1.211,0.071,4.131,1.069
11.0,1.219,0.169,4.225,1.072
11.1,1.23,0.355,4.319,1.075
11.2,1.243,0.541,4.41,1.078
11.3,1.258,0.723,4.496,1.081
11.4,1.273,0.898,4.575,1.084
11.5,1.287,1.064,4.647,1.086
11.6,1.299,1.219,4.71,1.087
11.7,1.31,1.364,4.764,1.087
11.8,1.319,1.496,4.808,1.086
11.9,1.326,1.616,4.842,1.084
12.0,1.332,1.721,4.865,1.082
12.1,1.337,1.813,4.876,1.082
12.2,1.341,1.889,4.877,1.082
12.3,1.343,1.95,4.865,1.082
12.4,1.345,1.995,4.844,1.081
12.5,1.346,2.023,4.811,1.08
12.6,1.346,2.035,4.768,1.078
12.7,1.345,2.033,4.714,1.077
12.8,1.345,2.019,4.649,1.076
12.9,1.344,1.993,4.573,1.074
13.0,1.344,1.955,4.487,1.073
13.1,1.343,1.906,4.39,1.071
13.2,1.342,1.846,4.283,1.07
13.3,1.342,1.776,4.167,1.069
13.4,1.341,1.703,4.047,1.068
13.5,1.341,1.625,3.925,1.066
13.6,1.341,1.544,3.801,1.065
13.7,1.341,1.463,3.674,1.065
13.8,1.34,1.384,3.545,1.066
13.9,1.339,1.306,3.413,1.067
14.0,1.338,1.23,3.281,1.068
14.1,1.337,1.158,3.146,1.07
14.2,1.335,1.092,3.015,1.072
14.3,1.333,1.037,2.889,1.075
14.4,1.331,0.993,2.768,1.078
14.5,1.33,0.958,2.65,1.08
14.6,1.328,0.933,2.537,1.083
14.7,1.325,0.916,2.427,1.085
14.8,1.323,0.908,2.322,1.086
14.9,1.321,0.907,2.22,1.087
15.0,1.319,0.912,2.122,1.087
15.1,1.317,0.921,2.028,1.086
15.2,1.316,0.934,1.937,1.086
15.3,1.315,0.949,1.852,1.087
15.4,1.315,0.967,1.772,1.089
15.5,1.316,0.985,1.699,1.091
15.6,1.317,1.004,1.633,1.093
15.7,1.32,1.022,1.578,1.096
15.8,1.323,1.039,1.534,1.099
15.9,1.328,1.054,1.501,1.102
16.0,1.334,1.067,1.48,1.106
16.1,1.341,1.079,1.468,1.108
16.2,1.346,1.089,1.464,1.109
16.3,1.35,1.1,1.466,1.108
16.4,1.352,1.109,1.475,1.105
16.5,1.353,1.118,1.488,1.099
16.6,1.353,1.127,1.503,1.092
16.7,1.353,1.137,1.519,1.085
16.8,1.343,1.144,1.536,1.076
16.9,1.324,1.15,1.552,1.067
17.0,1.296,1.155,1.566,1.058
17.1,1.262,1.158,1.576,1.047
17.2,1.221,1.16,1.582,1.037
17.3,1.174,1.162,1.584,1.026
17.4,1.121,1.162,1.581,1.014
17.5,1.067,1.16,1.574,1.004
17.6,1.014,1.152,1.562,0.994
17.7,0.961,1.139,1.547,0.984
17.8,0.91,1.122,1.528,0.977
17.9,0.861,1.101,1.51,0.97
18.0,0.813,1.077,1.491,0.966
18.1,0.767,1.052,1.471,0.963
18.2,0.724,1.025,1.452,0.961
18.3,0.682,0.996,1.432,0.961
18.4,0.641,0.967,1.412,0.965
18.5,0.601,0.937,1.39,0.973
18.6,0.564,0.906,1.367,0.981
