t,nnDist_0,nnDist_1,nnDist_2,nnDist_3,nnDist_4
0.1,2.887,0.906,1.976,6.361,0.906
0.2,2.887,0.906,1.976,6.361,0.906
0.30000000000000004,2.887,0.906,1.963,6.361,0.906
0.4,2.887,0.906,1.938,6.361,0.906
0.5,2.887,0.906,1.901,6.361,0.906
0.6,2.887,0.906,1.855,6.361,0.906
0.7,2.887,0.906,1.801,6.361,0.906
0.7999999999999999,2.887,0.92,1.741,6.359,0.92
0.8999999999999999,2.887,0.937,1.68,6.355,0.937
0.9999999999999999,2.887,0.953,1.622,6.349,0.953
1.0999999999999999,2.887,0.971,1.571,6.342,0.971
1.2,2.886,0.988,1.531,6.333,0.988
1.3,2.884,1.004,1.51,6.323,1.004
1.4000000000000001,2.88,1.02,1.509,6.313,1.02
1.5000000000000002,2.873,1.035,1.532,6.303,1.035
1.6000000000000003,2.862,1.049,1.491,6.293,1.049
1.7000000000000004,2.847,1.061,1.43,6.282,1.061
1.8000000000000005,2.828,1.073,1.393,6.272,1.073
1.9000000000000006,2.804,1.083,1.382,6.263,1.083
2.0000000000000004,2.776,1.092,1.396,6.254,1.092
2.1000000000000005,2.742,1.1,1.434,6.246,1.1
2.2000000000000006,2.704,1.107,1.492,6.239,1.107
2.3000000000000007,2.662,1.114,1.563,6.232,1.114
2.400000000000001,2.617,1.119,1.643,6.225,1.119
2.500000000000001,2.568,1.124,1.727,6.217,1.124
2.600000000000001,2.52,1.127,1.809,6.207,1.127
2.700000000000001,2.473,1.127,1.887,6.158,1.127
2.800000000000001,2.426,1.127,1.961,6.077,1.127
2.9000000000000012,2.381,1.127,2.028,6.002,1.127
3.0000000000000013,2.338,1.127,2.088,5.932,1.127
3.1000000000000014,2.296,1.125,2.142,5.867,1.125
3.2000000000000015,2.257,1.121,2.189,5.807,1.121
3.3000000000000016,2.22,1.116,2.22,5.751,1.116
3.4000000000000017,2.186,1.109,2.186,5.699,1.109
3.5000000000000018,2.156,1.102,2.156,5.652,1.102
3.600000000000002,2.129,1.095,2.129,5.604,1.095
3.700000000000002,2.105,1.089,2.105,5.556,1.089
3.800000000000002,2.083,1.083,2.083,5.509,1.083
3.900000000000002,2.065,1.079,2.065,5.461,1.079
4.000000000000002,2.049,1.075,2.049,5.414,1.075
4.100000000000001,2.035,1.071,2.035,5.367,1.071
4.200000000000001,2.024,1.068,2.024,5.32,1.068
4.300000000000001,2.014,1.066,2.014,5.274,1.066
4.4,2.007,1.069,2.007,5.228,1.069
4.5,2.001,1.072,2.001,5.182,1.072
4.6,1.998,1.077,1.998,5.137,1.077
4.699999999999999,1.995,1.081,1.995,5.092,1.081
4.799999999999999,1.994,1.086,1.994,5.048,1.086
4.899999999999999,1.995,1.091,1.995,5.004,1.091
4.999999999999998,1.997,1.096,1.997,4.961,1.096
5.099999999999998,2.0,1.101,2.0,4.918,1.101
5.1999999999999975,2.002,1.106,2.002,4.872,1.106
5.299999999999997,2.005,1.113,2.005,4.826,1.113
5.399999999999997,2.009,1.121,2.009,4.776,1.121
5.4999999999999964,2.014,1.128,2.014,4.704,1.128
5.599999999999996,2.019,1.132,2.019,4.633,1.132
5.699999999999996,2.025,1.135,2.025,4.562,1.135
5.799999999999995,2.032,1.137,2.032,4.493,1.137
5.899999999999995,2.039,1.141,2.039,4.424,1.141
5.999999999999995,2.046,1.144,2.046,4.355,1.144
6.099999999999994,2.054,1.147,2.054,4.287,1.147
6.199999999999994,2.062,1.151,2.062,4.22,1.151
6.299999999999994,2.071,1.154,2.071,4.153,1.154
6.399999999999993,2.08,1.158,2.08,4.086,1.158
6.499999999999993,2.089,1.162,2.089,4.02,1.162
6.5999999999999925,2.099,1.165,2.099,3.955,1.165
6.699999999999992,2.107,1.169,2.107,3.89,1.169
6.799999999999992,2.113,1.173,2.113,3.825,1.173
6.8999999999999915,2.117,1.179,2.117,3.756,1.179
6.999999999999991,2.12,1.188,2.12,3.682,1.188
7.099999999999991,2.122,1.196,2.122,3.604,1.196
7.19999999999999,2.123,1.203,2.123,3.523,1.203
7.29999999999999,2.119,1.209,2.119,3.437,1.209
7.39999999999999,2.105,1.215,2.105,3.347,1.215
7.499999999999989,2.082,1.22,2.082,3.254,1.22
7.599999999999989,2.051,1.225,2.051,3.157,1.225
7.699999999999989,2.013,1.23,2.013,3.056,1.23
7.799999999999988,1.97,1.234,1.97,2.951,1.234
7.899999999999988,1.92,1.238,1.92,2.842,1.238
7.999999999999988,1.866,1.242,1.866,2.728,1.242
8.099999999999987,1.807,1.244,1.807,2.618,1.244
8.199999999999987,1.744,1.244,1.744,2.512,1.244
8.299999999999986,1.677,1.243,1.677,2.411,1.243
8.399999999999986,1.607,1.241,1.607,2.313,1.241
8.499999999999986,1.534,1.238,1.534,2.219,1.238
8.599999999999985,1.459,1.235,1.459,2.13,1.235
8.699999999999985,1.382,1.231,1.382,2.045,1.231
8.799999999999985,1.304,1.227,1.304,1.965,1.227
8.899999999999984,1.223,1.225,1.223,1.89,1.225
8.999999999999984,1.14,1.224,1.14,1.82,1.224
9.099999999999984,1.061,1.225,1.061,1.756,1.225
9.199999999999983,0.987,1.231,0.987,1.693,1.231
9.299999999999983,0.917,1.241,0.917,1.631,1.241
9.399999999999983,0.852,1.25,0.852,1.568,1.25
9.499999999999982,0.879,1.259,0.879,1.43,1.259
9.599999999999982,0.905,1.268,0.905,1.302,1.268
9.699999999999982,0.93,1.182,0.93,1.182,1.276
9.799999999999981,0.953,1.071,0.953,1.071,1.285
9.89999999999998,0.974,0.975,0.974,0.975,1.302
9.99999999999998,0.993,0.893,0.993,0.893,1.299
10.09999999999998,1.009,0.824,1.009,0.824,1.268
10.19999999999998,1.025,0.767,1.025,0.767,1.24
10.29999999999998,1.038,0.724,1.038,0.724,1.215
10.399999999999979,1.051,0.693,1.051,0.693,1.192
10.499999999999979,1.062,0.674,1.062,0.674,1.173
10.599999999999978,1.073,0.665,1.073,0.665,1.158
10.699999999999978,1.083,0.665,1.083,0.665,1.146
10.799999999999978,1.092,0.672,1.092,0.672,1.138
10.899999999999977,1.101,0.685,1.101,0.685,1.131
10.999999999999977,1.11,0.702,1.11,0.702,1.127
11.099999999999977,1.119,0.721,1.119,0.721,1.125
11.199999999999976,1.128,0.743,1.128,0.743,1.123
11.299999999999976,1.136,0.765,1.136,0.765,1.124
11.399999999999975,1.145,0.788,1.145,0.788,1.125
11.499999999999975,1.154,0.811,1.154,0.811,1.126
11.599999999999975,1.163,0.833,1.163,0.833,1.129
11.699999999999974,1.172,0.855,1.172,0.855,1.132
11.799999999999974,1.182,0.876,1.182,0.876,1.135
11.899999999999974,1.192,0.897,1.192,0.897,1.138
11.999999999999973,1.202,0.916,1.202,0.916,1.142
12.099999999999973,1.213,0.935,1.213,0.935,1.146
12.199999999999973,1.225,0.952,1.225,0.952,1.149
12.299999999999972,1.237,0.969,1.237,0.969,1.153
12.399999999999972,1.25,0.985,1.25,0.985,1.156
12.499999999999972,1.262,0.999,1.262,0.999,1.159
12.599999999999971,1.271,1.013,1.271,1.013,1.162
12.69999999999997,1.279,1.026,1.279,1.026,1.165
12.79999999999997,1.286,1.038,1.286,1.038,1.167
12.89999999999997,1.291,1.049,1.291,1.049,1.17
12.99999999999997,1.294,1.059,1.294,1.059,1.173
13.09999999999997,1.296,1.069,1.296,1.069,1.175
13.199999999999969,1.297,1.078,1.297,1.078,1.178
13.299999999999969,1.297,1.086,1.297,1.086,1.181
13.399999999999968,1.296,1.094,1.296,1.094,1.184
13.499999999999968,1.294,1.101,1.294,1.101,1.187
13.599999999999968,1.293,1.107,1.293,1.107,1.191
13.699999999999967,1.292,1.113,1.292,1.113,1.194
13.799999999999967,1.291,1.118,1.291,1.118,1.196
13.899999999999967,1.291,1.122,1.291,1.122,1.199
13.999999999999966,1.291,1.126,1.291,1.126,1.201
14.099999999999966,1.291,1.129,1.291,1.129,1.203
14.199999999999966,1.291,1.131,1.291,1.131,1.204
14.299999999999965,1.292,1.134,1.292,1.134,1.206
14.399999999999965,1.291,1.136,1.291,1.136,1.207
14.499999999999964,1.29,1.138,1.29,1.138,1.208
14.599999999999964,1.289,1.14,1.289,1.14,1.208
14.699999999999964,1.288,1.142,1.288,1.142,1.207
14.799999999999963,1.287,1.145,1.287,1.145,1.207
14.899999999999963,1.287,1.148,1.287,1.148,1.206
14.999999999999963,1.286,1.151,1.286,1.151,1.205
15.099999999999962,1.286,1.154,1.286,1.154,1.203
15.199999999999962,1.286,1.157,1.286,1.157,1.202
15.299999999999962,1.286,1.16,1.286,1.16,1.202
15.399999999999961,1.286,1.163,1.286,1.163,1.201
15.499999999999961,1.286,1.166,1.286,1.166,1.203
15.59999999999996,1.286,1.168,1.286,1.168,1.205
15.69999999999996,1.286,1.17,1.286,1.17,1.208
15.79999999999996,1.286,1.171,1.286,1.171,1.211
15.89999999999996,1.286,1.172,1.286,1.172,1.213
15.99999999999996,1.286,1.172,1.286,1.172,1.215
16.09999999999996,1.286,1.173,1.286,1.173,1.216
16.19999999999996,1.286,1.173,1.286,1.173,1.216
16.29999999999996,1.287,1.174,1.287,1.174,1.216
16.399999999999963,1.287,1.175,1.287,1.175,1.216
16.499999999999964,1.287,1.177,1.287,1.177,1.214
16.599999999999966,1.287,1.179,1.287,1.179,1.213
16.699999999999967,1.287,1.183,1.287,1.183,1.212
16.79999999999997,1.287,1.188,1.287,1.188,1.211
16.89999999999997,1.287,1.193,1.287,1.193,1.211
16.99999999999997,1.288,1.197,1.288,1.197,1.212
17.099999999999973,1.29,1.201,1.29,1.201,1.213
17.199999999999974,1.291,1.203,1.291,1.203,1.214
17.299999999999976,1.291,1.205,1.291,1.205,1.214
17.399999999999977,1.291,1.206,1.291,1.206,1.215
17.49999999999998,1.292,1.207,1.292,1.207,1.215
17.59999999999998,1.292,1.207,1.292,1.207,1.215
17.69999999999998,1.291,1.206,1.291,1.206,1.215
17.799999999999983,1.291,1.205,1.291,1.205,1.215
17.899999999999984,1.292,1.204,1.292,1.204,1.215
17.999999999999986,1.292,1.204,1.292,1.204,1.216
18.099999999999987,1.292,1.204,1.292,1.204,1.217
18.19999999999999,1.292,1.205,1.292,1.205,1.218
18.29999999999999,1.292,1.206,1.292,1.206,1.218
18.39999999999999,1.292,1.208,1.292,1.208,1.219
18.499999999999993,1.293,1.21,1.293,1.21,1.219
18.599999999999994,1.293,1.212,1.293,1.212,1.219
18.699999999999996,1.293,1.212,1.293,1.212,1.219
18.799999999999997,1.293,1.212,1.293,1.212,1.219
18.9,1.293,1.212,1.293,1.212,1.219
19.0,1.293,1.211,1.293,1.211,1.219
19.1,1.293,1.21,1.293,1.21,1.219
19.200000000000003,1.294,1.209,1.294,1.209,1.219
19.300000000000004,1.294,1.209,1.294,1.209,1.218
19.400000000000006,1.294,1.208,1.294,1.208,1.218
19.500000000000007,1.294,1.208,1.294,1.208,1.218
19.60000000000001,1.294,1.207,1.294,1.207,1.218
19.70000000000001,1.294,1.207,1.294,1.207,1.218
19.80000000000001,1.294,1.207,1.294,1.207,1.217
19.900000000000013,1.294,1.207,1.294,1.207,1.217
20.000000000000014,1.295,1.207,1.295,1.207,1.217
20.100000000000016,1.295,1.207,1.295,1.207,1.217
20.200000000000017,1.295,1.207,1.295,1.207,1.217
20.30000000000002,1.295,1.207,1.295,1.207,1.217
20.40000000000002,1.295,1.207,1.295,1.207,1.217
20.50000000000002,1.295,1.207,1.295,1.207,1.217
20.600000000000023,1.296,1.208,1.296,1.208,1.217
20.700000000000024,1.296,1.208,1.296,1.208,1.217
20.800000000000026,1.296,1.208,1.296,1.208,1.217
20.900000000000027,1.297,1.208,1.297,1.208,1.217
21.00000000000003,1.297,1.208,1.297,1.208,1.216
21.10000000000003,1.297,1.208,1.297,1.208,1.215
21.20000000000003,1.297,1.208,1.297,1.208,1.213
21.300000000000033,1.297,1.208,1.297,1.208,1.212
21.400000000000034,1.297,1.208,1.297,1.208,1.21
21.500000000000036,1.297,1.208,1.297,1.208,1.208
21.600000000000037,1.297,1.208,1.297,1.206,1.206
21.70000000000004,1.298,1.208,1.298,1.205,1.205
21.80000000000004,1.299,1.208,1.299,1.204,1.204
21.90000000000004,1.299,1.208,1.299,1.205,1.205
22.000000000000043,1.3,1.208,1.3,1.207,1.207
22.100000000000044,1.3,1.208,1.3,1.208,1.208
22.200000000000045,1.301,1.207,1.301,1.207,1.21
22.300000000000047,1.301,1.206,1.301,1.206,1.212
22.40000000000005,1.301,1.204,1.301,1.204,1.212
22.50000000000005,1.301,1.203,1.301,1.203,1.213
22.60000000000005,1.301,1.201,1.301,1.201,1.213
22.700000000000053,1.301,1.2,1.301,1.2,1.212
22.800000000000054,1.301,1.199,1.301,1.199,1.212
22.900000000000055,1.301,1.199,1.301,1.199,1.211
23.000000000000057,1.301,1.199,1.301,1.199,1.212
23.10000000000006,1.301,1.201,1.301,1.201,1.212
23.20000000000006,1.301,1.203,1.301,1.203,1.213
23.30000000000006,1.301,1.205,1.301,1.205,1.214
23.400000000000063,1.301,1.207,1.301,1.207,1.214
23.500000000000064,1.302,1.209,1.302,1.209,1.214
23.600000000000065,1.303,1.21,1.303,1.21,1.213
23.700000000000067,1.303,1.21,1.303,1.21,1.213
23.800000000000068,1.303,1.21,1.303,1.21,1.212
23.90000000000007,1.303,1.21,1.303,1.21,1.211
24.00000000000007,1.303,1.209,1.303,1.209,1.211
24.100000000000072,1.303,1.208,1.303,1.208,1.211
24.200000000000074,1.304,1.209,1.304,1.209,1.212
24.300000000000075,1.304,1.209,1.304,1.209,1.213
24.400000000000077,1.305,1.21,1.305,1.21,1.213
24.500000000000078,1.306,1.21,1.306,1.21,1.214
24.60000000000008,1.306,1.21,1.306,1.21,1.213
24.70000000000008,1.306,1.21,1.306,1.21,1.213
24.800000000000082,1.306,1.21,1.306,1.21,1.212
24.900000000000084,1.306,1.21,1.306,1.21,1.211
25.000000000000085,1.306,1.209,1.306,1.209,1.21
25.100000000000087,1.306,1.208,1.306,1.208,1.209
25.200000000000088,1.306,1.208,1.306,1.208,1.21
25.30000000000009,1.306,1.208,1.306,1.208,1.211
25.40000000000009,1.306,1.209,1.306,1.209,1.211
25.500000000000092,1.307,1.21,1.307,1.21,1.211
25.600000000000094,1.307,1.21,1.307,1.21,1.211
25.700000000000095,1.307,1.21,1.307,1.21,1.211
25.800000000000097,1.307,1.21,1.307,1.21,1.211
25.900000000000098,1.307,1.209,1.307,1.209,1.211
26.0000000000001,1.299,1.209,1.299,1.209,1.211
26.1000000000001,1.283,1.208,1.283,1.208,1.211
26.200000000000102,1.258,1.207,1.258,1.207,1.211
26.300000000000104,1.226,1.206,1.226,1.206,1.21
26.400000000000105,1.187,1.207,1.187,1.207,1.21
26.500000000000107,1.144,1.208,1.144,1.208,1.211
26.600000000000108,1.099,1.208,1.099,1.208,1.212
26.70000000000011,1.053,1.208,1.053,1.208,1.212
26.80000000000011,1.006,1.209,1.006,1.209,1.212
26.900000000000112,0.958,1.209,0.958,1.209,1.212
27.000000000000114,0.911,1.209,0.911,1.209,1.211
27.100000000000115,0.864,1.209,0.864,1.209,1.21
27.200000000000117,0.818,1.209,0.818,1.209,1.209
27.300000000000118,0.774,1.209,0.774,1.208,1.208
27.40000000000012,0.73,1.208,0.73,1.207,1.207
27.50000000000012,0.689,1.208,0.689,1.206,1.206
27.600000000000122,0.649,1.208,0.649,1.206,1.206
27.700000000000124,0.611,1.209,0.611,1.207,1.207
27.800000000000125,0.575,1.21,0.575,1.208,1.208
