t,goalDist_0,goalDist_1,goalDist_2,goalDist_3,goalDist_4
0.1,7.071,8.984,9.628,8.815,9.712
0.2,7.086,9.01,9.667,8.915,9.795
0.3,7.092,9.027,9.711,9.014,9.883
0.4,7.09,9.036,9.761,9.112,9.976
0.5,7.079,9.036,9.815,9.207,10.072
0.6,7.06,9.027,9.872,9.298,10.17
0.7,7.032,9.009,9.971,9.386,10.27
0.8,6.996,8.982,10.071,9.468,10.37
0.9,6.952,8.947,10.171,9.544,10.469
1.0,6.9,8.903,10.27,9.615,10.567
1.1,6.842,8.852,10.367,9.678,10.662
1.2,6.776,8.793,10.461,9.734,10.753
1.3,6.705,8.727,10.551,9.783,10.841
1.4,6.63,8.654,10.637,9.823,10.923
1.5,6.551,8.576,10.717,9.854,11.0
1.6,6.468,8.492,10.792,9.877,11.07
1.7,6.383,8.403,10.86,9.892,11.111
1.8,6.295,8.31,10.92,9.897,11.149
1.9,6.205,8.214,10.974,9.894,11.182
2.0,6.114,8.116,11.019,9.883,11.211
2.1,6.021,8.016,11.056,9.865,11.233
2.2,5.927,7.916,11.084,9.841,11.249
2.3,5.833,7.816,11.104,9.812,11.259
2.4,5.737,7.717,11.114,9.778,11.261
2.5,5.641,7.617,11.115,9.74,11.255
2.6,5.544,7.517,11.107,9.698,11.242
2.7,5.446,7.418,11.091,9.651,11.221
2.8,5.349,7.32,11.065,9.601,11.192
2.9,5.25,7.222,11.031,9.548,11.157
3.0,5.152,7.125,10.989,9.492,11.116
3.1,5.053,7.028,10.942,9.434,11.069
3.2,4.955,6.933,10.888,9.373,11.018
3.3,4.855,6.838,10.83,9.311,10.963
3.4,4.756,6.741,10.767,9.247,10.905
3.5,4.657,6.645,10.701,9.182,10.843
3.6,4.558,6.548,10.63,9.115,10.779
3.7,4.458,6.45,10.556,9.046,10.711
3.8,4.358,6.352,10.478,8.976,10.64
3.9,4.259,6.254,10.398,8.903,10.568
4.0,4.159,6.156,10.316,8.83,10.494
4.1,4.059,6.057,10.231,8.756,10.418
4.2,3.96,5.958,10.145,8.681,10.342
4.3,3.86,5.858,10.057,8.605,10.264
4.4,3.76,5.759,9.968,8.528,10.185
4.5,3.66,5.659,9.878,8.451,10.106
4.6,3.56,5.559,9.787,8.373,10.026
4.7,3.46,5.459,9.696,8.294,9.945
4.8,3.36,5.359,9.603,8.213,9.863
4.9,3.261,5.26,9.51,8.132,9.781
5.0,3.161,5.161,9.416,8.05,9.698
5.1,3.061,5.062,9.321,7.967,9.615
5.2,2.961,4.964,9.225,7.883,9.531
5.3,2.861,4.867,9.129,7.798,9.447
5.4,2.761,4.772,9.032,7.713,9.363
5.5,2.661,4.678,8.935,7.628,9.279
5.6,2.561,4.583,8.837,7.542,9.194
5.7,2.461,4.486,8.74,7.456,9.11
5.8,2.361,4.389,8.642,7.37,9.025
5.9,2.261,4.291,8.544,7.283,8.94
6.0,2.161,4.192,8.447,7.197,8.855
6.1,2.061,4.093,8.349,7.11,8.77
6.2,1.961,3.993,8.251,7.023,8.684
6.3,1.861,3.893,8.154,6.936,8.598
6.4,1.761,3.793,8.056,6.85,8.512
6.5,1.661,3.693,7.959,6.763,8.425
6.6,1.561,3.593,7.861,6.676,8.338
6.7,1.461,3.493,7.763,6.589,8.25
6.8,1.361,3.393,7.665,6.503,8.163
6.9,1.261,3.293,7.567,6.416,8.075
7.0,1.161,3.193,7.468,6.33,7.987
7.1,1.061,3.093,7.37,6.244,7.899
7.2,0.961,2.993,7.272,6.158,7.81
7.3,0.865,2.893,7.174,6.072,7.722
7.4,0.778,2.793,7.076,5.987,7.633
7.5,0.701,2.694,6.978,5.902,7.543
7.6,0.631,2.594,6.881,5.817,7.453
7.7,0.568,2.494,6.783,5.733,7.363
7.8,0.511,2.394,6.686,5.649,7.273
7.9,0.46,2.294,6.588,5.565,7.182
8.0,0.414,2.194,6.491,5.482,7.091
8.1,0.372,2.094,6.394,5.4,6.999
8.2,0.335,1.995,6.296,5.317,6.908
8.3,0.302,1.896,6.197,5.236,6.816
8.4,0.271,1.797,6.099,5.154,6.725
8.5,0.244,1.699,6.001,5.074,6.633
8.6,0.22,1.601,5.904,4.994,6.541
8.7,0.198,1.505,5.806,4.914,6.449
8.8,0.178,1.408,5.709,4.836,6.357
8.9,0.16,1.312,5.612,4.758,6.264
9.0,0.144,1.217,5.516,4.681,6.172
9.1,0.13,1.129,5.42,4.604,6.079
9.2,0.117,1.047,5.324,4.529,5.985
9.3,0.105,0.97,5.228,4.454,5.891
9.4,10.518,10.08,7.148,6.667,6.087
9.5,10.596,10.128,7.221,6.765,6.158
9.6,10.667,10.173,7.288,6.862,6.222
9.7,10.731,10.213,7.348,6.956,6.28
9.8,10.788,10.25,7.401,7.046,6.331
9.9,10.837,10.28,7.444,7.123,6.374
10.0,10.878,10.305,7.475,7.188,6.409
10.1,10.91,10.323,7.496,7.239,6.436
10.2,10.934,10.334,7.508,7.28,6.454
10.3,10.949,10.338,7.514,7.312,6.465
10.4,10.954,10.333,7.514,7.335,6.466
10.5,10.951,10.321,7.511,7.352,6.46
10.6,10.938,10.301,7.505,7.363,6.445
10.7,10.917,10.273,7.497,7.37,6.422
10.8,10.887,10.233,7.489,7.374,6.39
10.9,10.848,10.184,7.449,7.383,6.351
11.0,10.801,10.128,7.407,7.383,6.303
11.1,10.746,10.064,7.363,7.374,6.249
11.2,10.683,9.993,7.316,7.357,6.187
11.3,10.614,9.916,7.266,7.331,6.12
11.4,10.538,9.834,7.214,7.297,6.047
11.5,10.456,9.747,7.156,7.255,5.97
11.6,10.37,9.656,7.094,7.205,5.89
11.7,10.279,9.562,7.027,7.148,5.806
11.8,10.185,9.466,6.955,7.084,5.72
11.9,10.089,9.368,6.88,7.013,5.632
12.0,9.991,9.269,6.802,6.936,5.542
12.1,9.897,9.17,6.72,6.853,5.45
12.2,9.802,9.07,6.635,6.766,5.357
12.3,9.707,8.97,6.547,6.674,5.263
12.4,9.611,8.87,6.456,6.579,5.168
12.5,9.515,8.77,6.363,6.482,5.072
12.6,9.419,8.67,6.268,6.383,4.976
12.7,9.323,8.571,6.172,6.283,4.879
12.8,9.227,8.472,6.075,6.183,4.782
12.9,9.132,8.373,5.978,6.084,4.684
13.0,9.037,8.274,5.88,5.988,4.586
13.1,8.942,8.176,5.782,5.895,4.487
13.2,8.848,8.077,5.683,5.807,4.389
13.3,8.754,7.98,5.584,5.725,4.29
13.4,8.66,7.882,5.484,5.645,4.191
13.5,8.567,7.785,5.385,5.567,4.092
13.6,8.473,7.688,5.285,5.491,3.993
13.7,8.38,7.591,5.185,5.419,3.893
13.8,8.287,7.494,5.085,5.349,3.794
13.9,8.194,7.398,4.985,5.281,3.694
14.0,8.1,7.303,4.885,5.217,3.594
14.1,8.006,7.207,4.786,5.156,3.495
14.2,7.912,7.113,4.686,5.094,3.395
14.3,7.818,7.018,4.586,5.034,3.295
14.4,7.724,6.924,4.487,4.976,3.196
14.5,7.63,6.83,4.387,4.919,3.096
14.6,7.535,6.737,4.287,4.863,2.996
14.7,7.44,6.643,4.188,4.807,2.896
14.8,7.345,6.549,4.089,4.751,2.796
14.9,7.25,6.454,3.99,4.694,2.696
15.0,7.155,6.359,3.891,4.637,2.596
15.1,7.061,6.265,3.793,4.579,2.497
15.2,6.967,6.171,3.695,4.519,2.397
15.3,6.873,6.079,3.597,4.458,2.297
15.4,6.778,5.986,3.5,4.395,2.197
15.5,6.684,5.895,3.404,4.331,2.097
15.6,6.589,5.804,3.308,4.265,1.997
15.7,6.495,5.715,3.213,4.196,1.897
15.8,6.4,5.626,3.118,4.125,1.797
15.9,6.304,5.538,3.024,4.05,1.697
16.0,6.209,5.451,2.93,3.974,1.597
16.1,6.113,5.363,2.838,3.895,1.497
16.2,6.018,5.273,2.743,3.815,1.397
16.3,5.923,5.182,2.647,3.732,1.297
16.4,5.828,5.09,2.549,3.647,1.197
16.5,5.735,4.996,2.45,3.561,1.097
16.6,5.642,4.902,2.35,3.474,0.997
16.7,5.551,4.807,2.25,3.386,0.897
16.8,5.459,4.711,2.15,3.294,0.808
16.9,5.369,4.614,2.05,3.201,0.727
17.0,5.279,4.516,1.95,3.105,0.654
17.1,5.191,4.418,1.85,3.008,0.589
17.2,5.103,4.319,1.75,2.91,0.53
17.3,5.016,4.219,1.65,2.811,0.477
17.4,4.93,4.119,1.551,2.711,0.429
17.5,4.845,4.02,1.454,2.611,0.386
17.6,4.761,3.92,1.362,2.511,0.348
17.7,4.678,3.82,1.274,2.412,0.313
17.8,4.596,3.72,1.192,2.313,0.282
17.9,4.514,3.621,1.114,2.214,0.254
18.0,4.432,3.522,1.041,2.117,0.228
18.1,4.35,3.425,0.973,2.022,0.205
18.2,4.267,3.328,0.908,1.93,0.185
18.3,4.183,3.233,0.847,1.841,0.166
18.4,4.097,3.137,0.79,1.754,0.15
18.5,4.011,3.039,0.735,1.67,0.135
18.6,3.923,2.941,0.684,1.589,0.121
18.7,3.833,2.843,0.636,1.51,0.109
18.8,18.138,17.602,16.652,16.92,16.467
18.9,18.093,17.547,16.633,16.906,16.442
19.0,18.048,17.492,16.611,16.889,16.409
19.1,18.001,17.438,16.586,16.871,16.366
19.2,17.953,17.384,16.558,16.851,16.316
19.3,17.905,17.33,16.527,16.829,16.257
19.4,17.857,17.278,16.493,16.806,16.192
19.5,17.808,17.227,16.457,16.782,16.12
19.6,17.759,17.178,16.418,16.756,16.044
19.7,17.709,17.13,16.376,16.728,15.964
19.8,17.66,17.083,16.332,16.699,15.88
19.9,17.611,17.038,16.284,16.669,15.793
20.0,17.563,16.993,16.236,16.638,15.704
20.1,17.514,16.949,16.186,16.605,15.613
20.2,17.466,16.906,16.136,16.57,15.52
20.3,17.418,16.864,16.084,16.534,15.427
20.4,17.371,16.823,16.031,16.497,15.332
20.5,17.324,16.782,15.978,16.458,15.236
20.6,17.277,16.742,15.923,16.418,15.139
20.7,17.231,16.702,15.867,16.376,15.042
20.8,17.185,16.663,15.81,16.333,14.944
20.9,17.14,16.624,15.751,16.289,14.846
21.0,17.095,16.586,15.691,16.244,14.748
21.1,17.051,16.548,15.629,16.197,14.649
21.2,17.007,16.51,15.565,16.149,14.55
21.3,16.963,16.473,15.496,16.1,14.451
