t,d_r0_r1,d_r1_r2,d_r2_r3,d_r3_r4
0.1,7.284,8.409,9.001,9.095
0.2,7.284,8.409,9.001,9.095
0.3,7.277,8.405,8.994,9.082
0.4,7.265,8.396,8.981,9.056
0.5,7.247,8.382,8.959,9.019
0.6,7.224,8.361,8.929,8.969
0.7,7.197,8.333,8.891,8.909
0.8,7.167,8.298,8.843,8.839
0.9,7.135,8.256,8.785,8.76
1.0,7.101,8.205,8.718,8.672
1.1,7.067,8.146,8.643,8.577
1.2,7.034,8.079,8.557,8.474
1.3,7.002,8.003,8.463,8.364
1.4,6.972,7.919,8.359,8.247
1.5,6.943,7.825,8.243,8.123
1.6,6.915,7.723,8.117,7.994
1.7,6.888,7.613,7.982,7.86
1.8,6.862,7.497,7.837,7.722
1.9,6.837,7.375,7.686,7.611
2.0,6.812,7.249,7.528,7.497
2.1,6.787,7.119,7.365,7.381
2.2,6.762,6.986,7.197,7.263
2.3,6.737,6.852,7.028,7.142
2.4,6.711,6.717,6.858,7.019
2.5,6.685,6.583,6.69,6.894
2.6,6.658,6.452,6.523,6.768
2.7,6.63,6.324,6.359,6.64
2.8,6.602,6.201,6.199,6.512
2.9,6.574,6.082,6.044,6.384
3.0,6.546,5.969,5.893,6.256
3.1,6.519,5.862,5.749,6.13
3.2,6.494,5.761,5.61,6.004
3.3,6.469,5.668,5.478,5.881
3.4,6.445,5.581,5.354,5.759
3.5,6.423,5.502,5.236,5.641
3.6,6.401,5.43,5.126,5.525
3.7,6.38,5.365,5.024,5.41
3.8,6.359,5.303,4.926,5.297
3.9,6.339,5.245,4.832,5.186
4.0,6.32,5.19,4.742,5.076
4.1,6.302,5.138,4.656,4.968
4.2,6.285,5.089,4.574,4.861
4.3,6.268,5.044,4.497,4.757
4.4,6.253,5.002,4.423,4.654
4.5,6.238,4.962,4.353,4.554
4.6,6.224,4.926,4.288,4.455
4.7,6.21,4.892,4.227,4.359
4.8,6.197,4.862,4.169,4.265
4.9,6.185,4.831,4.113,4.172
5.0,6.173,4.805,4.063,4.081
5.1,6.161,4.783,4.018,3.99
5.2,6.15,4.764,3.979,3.901
5.3,6.139,4.748,3.945,3.813
5.4,6.129,4.735,3.915,3.726
5.5,6.119,4.725,3.889,3.64
5.6,6.11,4.716,3.867,3.555
5.7,6.101,4.71,3.848,3.471
5.8,6.093,4.704,3.832,3.388
5.9,6.085,4.701,3.819,3.312
6.0,6.077,4.696,3.805,3.241
6.1,6.07,4.692,3.791,3.177
6.2,6.063,4.687,3.777,3.118
6.3,6.056,4.682,3.763,3.064
6.4,6.05,4.676,3.749,3.016
6.5,6.044,4.67,3.735,2.972
6.6,6.039,4.664,3.721,2.933
6.7,6.033,4.658,3.707,2.898
6.8,6.029,4.651,3.692,2.867
6.9,6.025,4.645,3.678,2.84
7.0,6.022,4.639,3.663,2.817
7.1,6.021,4.633,3.649,2.793
7.2,6.02,4.628,3.633,2.771
7.3,6.018,4.622,3.616,2.748
7.4,6.006,4.618,3.603,2.726
7.5,5.987,4.616,3.591,2.704
7.6,5.962,4.616,3.582,2.682
7.7,5.93,4.618,3.574,2.661
7.8,5.892,4.621,3.569,2.641
7.9,5.85,4.625,3.565,2.621
8.0,5.803,4.63,3.562,2.602
8.1,5.751,4.636,3.561,2.583
8.2,5.696,4.642,3.56,2.564
8.3,5.637,4.647,3.558,2.549
8.4,5.575,4.645,3.55,2.535
8.5,5.51,4.639,3.538,2.523
8.6,5.442,4.627,3.52,2.512
8.7,5.372,4.61,3.498,2.501
8.8,5.299,4.588,3.472,2.49
8.9,5.225,4.561,3.441,2.478
9.0,5.148,4.53,3.407,2.465
9.1,5.07,4.494,3.368,2.452
9.2,4.99,4.454,3.327,2.436
9.3,4.909,4.411,3.281,2.418
9.4,4.827,4.364,3.232,2.399
9.5,4.832,4.32,3.187,2.376
9.6,4.835,4.279,3.145,2.353
9.7,4.836,4.241,3.106,2.327
9.8,4.832,4.205,3.071,2.301
9.9,4.825,4.172,3.038,2.275
10.0,4.813,4.141,3.008,2.248
10.1,4.797,4.112,2.98,2.22
10.2,4.775,4.084,2.954,2.193
10.3,4.747,4.057,2.93,2.167
10.4,4.714,4.031,2.907,2.14
10.5,4.675,4.006,2.886,2.114
10.6,4.63,3.982,2.866,2.089
10.7,4.579,3.959,2.847,2.065
10.8,4.523,3.936,2.831,2.041
10.9,4.46,3.915,2.816,2.019
11.0,4.393,3.895,2.803,1.998
11.1,4.321,3.877,2.792,1.977
11.2,4.247,3.86,2.784,1.959
11.3,4.171,3.846,2.779,1.941
11.4,4.094,3.83,2.775,1.925
11.5,4.017,3.813,2.772,1.908
11.6,3.941,3.794,2.769,1.893
11.7,3.866,3.772,2.765,1.878
11.8,3.795,3.746,2.76,1.864
