t,nnDist_0,nnDist_1,nnDist_2,nnDist_3,nnDist_4
0.1,0.205,0.205,3.497,2.566,2.566
0.2,0.234,0.234,3.465,2.566,2.566
0.30000000000000004,0.275,0.275,3.429,2.566,2.566
0.4,0.321,0.321,3.389,2.566,2.566
0.5,0.368,0.368,3.346,2.566,2.566
0.6,0.416,0.416,3.301,2.566,2.566
0.7,0.466,0.466,3.255,2.566,2.566
0.7999999999999999,0.521,0.521,3.21,2.566,2.566
0.8999999999999999,0.582,0.582,3.167,2.566,2.566
0.9999999999999999,0.645,0.645,3.089,2.566,2.566
1.0999999999999999,0.711,0.711,2.954,2.566,2.566
1.2,0.766,0.766,2.811,2.566,2.566
1.3,0.835,0.835,2.661,2.566,2.566
1.4000000000000001,0.914,0.914,2.505,2.566,2.566
1.5000000000000002,0.998,0.998,2.344,2.566,2.566
1.6000000000000003,1.083,1.083,2.18,2.566,2.566
1.7000000000000004,1.169,1.169,2.013,2.566,2.566
1.8000000000000005,1.254,1.254,1.844,2.566,2.566
1.9000000000000006,1.337,1.337,1.674,2.566,2.566
2.0000000000000004,1.417,1.417,1.504,2.566,2.566
2.1000000000000005,1.335,1.494,1.335,2.566,2.566
2.2000000000000006,1.169,1.567,1.169,2.565,2.565
2.3000000000000007,1.011,1.636,1.011,2.562,2.562
2.400000000000001,0.875,1.699,0.875,2.557,2.557
2.500000000000001,0.763,1.758,0.763,2.549,2.549
2.600000000000001,0.674,1.811,0.674,2.54,2.54
2.700000000000001,0.612,1.859,0.612,2.527,2.527
2.800000000000001,0.579,1.902,0.579,2.512,2.512
2.9000000000000012,0.575,1.938,0.575,2.493,2.493
3.0000000000000013,0.598,1.86,0.598,2.472,2.472
3.1000000000000014,0.639,1.719,0.639,2.449,2.449
3.2000000000000015,0.715,1.574,0.715,2.424,2.424
3.3000000000000016,0.814,1.428,0.814,2.397,2.397
3.4000000000000017,0.924,1.282,0.924,2.368,2.368
3.5000000000000018,1.041,1.136,1.041,2.338,2.338
3.600000000000002,1.159,1.0,1.0,2.309,2.309
3.700000000000002,1.273,0.882,0.882,2.279,2.279
3.800000000000002,1.382,0.782,0.782,2.25,2.25
3.900000000000002,1.491,0.682,0.682,2.221,2.221
4.000000000000002,1.595,0.605,0.605,2.192,2.192
4.100000000000001,1.693,0.554,0.554,2.165,2.165
4.200000000000001,1.786,0.534,0.534,2.137,2.137
4.300000000000001,1.872,0.544,0.544,2.111,2.111
4.4,1.95,0.577,0.577,2.085,2.085
4.5,2.022,0.628,0.628,2.06,2.06
4.6,2.086,0.69,0.69,1.977,2.035
4.699999999999999,2.143,0.755,0.755,1.856,2.013
4.799999999999999,2.192,0.82,0.82,1.751,1.993
4.899999999999999,2.233,0.867,0.867,1.663,1.974
4.999999999999998,2.267,0.913,0.913,1.59,1.958
5.099999999999998,2.296,0.958,0.958,1.532,1.944
5.1999999999999975,2.321,0.998,0.998,1.486,1.932
5.299999999999997,2.34,1.035,1.035,1.451,1.922
5.399999999999997,2.356,1.066,1.066,1.427,1.913
5.4999999999999964,2.368,1.092,1.092,1.411,1.905
5.599999999999996,2.376,1.113,1.113,1.403,1.899
5.699999999999996,2.382,1.127,1.127,1.4,1.893
5.799999999999995,2.384,1.136,1.136,1.402,1.888
5.899999999999995,2.384,1.138,1.138,1.407,1.883
5.999999999999995,2.382,1.137,1.137,1.414,1.879
6.099999999999994,2.377,1.133,1.133,1.422,1.875
6.199999999999994,2.371,1.126,1.126,1.431,1.871
6.299999999999994,2.364,1.114,1.114,1.44,1.866
6.399999999999993,2.356,1.099,1.099,1.448,1.862
6.499999999999993,2.347,1.08,1.08,1.446,1.858
6.5999999999999925,2.339,1.056,1.056,1.432,1.856
6.699999999999992,2.331,1.027,1.027,1.419,1.854
6.799999999999992,2.325,0.998,0.998,1.408,1.853
6.8999999999999915,2.32,0.971,0.971,1.4,1.853
6.999999999999991,2.316,0.944,0.944,1.392,1.853
7.099999999999991,2.313,0.919,0.919,1.386,1.853
7.19999999999999,2.311,0.89,0.89,1.38,1.854
7.29999999999999,2.306,0.856,0.856,1.372,1.854
7.39999999999999,2.294,0.819,0.819,1.364,1.855
7.499999999999989,2.274,0.779,0.779,1.354,1.855
7.599999999999989,2.246,0.74,0.74,1.343,1.854
7.699999999999989,2.21,0.703,0.703,1.329,1.853
7.799999999999988,2.168,0.668,0.668,1.314,1.851
7.899999999999988,2.12,0.635,0.635,1.298,1.849
7.999999999999988,2.068,0.625,0.625,1.242,1.847
8.099999999999987,2.011,0.619,0.619,1.186,1.846
8.199999999999987,1.951,0.616,0.616,1.129,1.844
8.299999999999986,1.888,0.617,0.617,1.077,1.839
8.399999999999986,1.822,0.623,0.623,1.029,1.829
8.499999999999986,1.754,0.635,0.635,0.986,1.817
8.599999999999985,1.684,0.651,0.651,0.95,1.801
8.699999999999985,1.613,0.671,0.671,0.919,1.783
8.799999999999985,1.54,0.693,0.693,0.893,1.762
8.899999999999984,1.467,0.717,0.717,0.871,1.737
8.999999999999984,1.394,0.742,0.742,0.855,1.711
9.099999999999984,1.319,0.77,0.77,0.842,1.685
9.199999999999983,1.241,0.799,0.799,0.833,1.657
9.299999999999983,1.162,0.828,0.828,0.828,1.629
9.399999999999983,1.084,0.827,0.853,0.827,1.602
9.499999999999982,1.099,0.828,0.871,0.828,1.575
9.599999999999982,1.113,0.83,0.889,0.83,1.548
9.699999999999982,1.126,0.834,0.908,0.834,1.522
9.799999999999981,1.139,0.84,0.926,0.84,1.497
9.89999999999998,1.149,0.847,0.944,0.847,1.473
9.99999999999998,1.159,0.855,0.961,0.855,1.45
10.09999999999998,1.167,0.863,0.978,0.863,1.427
10.19999999999998,1.173,0.873,0.995,0.873,1.404
10.29999999999998,1.178,0.883,1.01,0.883,1.381
10.399999999999979,1.182,0.893,1.024,0.893,1.356
10.499999999999979,1.185,0.903,1.037,0.903,1.331
10.599999999999978,1.189,0.914,1.049,0.914,1.306
10.699999999999978,1.192,0.924,1.06,0.924,1.281
10.799999999999978,1.196,0.935,1.07,0.935,1.255
10.899999999999977,1.202,0.946,1.079,0.946,1.23
10.999999999999977,1.209,0.957,1.088,0.957,1.205
11.099999999999977,1.219,0.968,1.096,0.968,1.181
11.199999999999976,1.233,0.98,1.103,0.98,1.16
11.299999999999976,1.252,0.992,1.109,0.992,1.142
11.399999999999975,1.27,1.004,1.113,1.004,1.13
11.499999999999975,1.289,1.015,1.114,1.015,1.12
11.599999999999975,1.309,1.024,1.113,1.024,1.112
11.699999999999974,1.328,1.032,1.11,1.032,1.106
11.799999999999974,1.346,1.038,1.104,1.038,1.101
11.899999999999974,1.364,1.042,1.095,1.042,1.097
11.999999999999973,1.381,1.046,1.085,1.046,1.092
12.099999999999973,1.396,1.048,1.072,1.048,1.088
12.199999999999973,1.41,1.049,1.058,1.049,1.084
12.299999999999972,1.422,1.042,1.042,1.049,1.079
12.399999999999972,1.432,1.025,1.025,1.049,1.074
12.499999999999972,1.44,1.006,1.006,1.049,1.07
12.599999999999971,1.447,0.987,0.987,1.048,1.066
12.69999999999997,1.451,0.966,0.966,1.044,1.06
12.79999999999997,1.455,0.949,0.949,1.039,1.054
12.89999999999997,1.458,0.936,0.936,1.032,1.046
12.99999999999997,1.461,0.925,0.925,1.024,1.038
13.09999999999997,1.463,0.917,0.917,1.015,1.029
13.199999999999969,1.465,0.912,0.912,1.006,1.02
13.299999999999969,1.466,0.91,0.91,0.997,1.011
13.399999999999968,1.467,0.91,0.91,0.988,1.003
13.499999999999968,1.468,0.911,0.911,0.979,0.995
13.599999999999968,1.468,0.914,0.914,0.971,0.988
13.699999999999967,1.468,0.919,0.919,0.963,0.983
13.799999999999967,1.468,0.927,0.927,0.957,0.979
13.899999999999967,1.469,0.937,0.937,0.952,0.975
