t,goalDist_0,goalDist_1,goalDist_2,goalDist_3,goalDist_4
0.1,7.071,6.866,3.598,6.631,8.654
0.2,7.086,6.869,3.588,6.721,8.733
0.3,7.092,6.874,3.592,6.816,8.819
0.4,7.09,6.881,3.607,6.913,8.91
0.5,7.079,6.893,3.636,7.012,9.004
0.6,7.06,6.909,3.675,7.112,9.102
0.7,7.032,6.93,3.725,7.212,9.201
0.8,6.996,6.957,3.784,7.31,9.301
0.9,6.952,6.99,3.85,7.407,9.401
1.0,6.9,7.026,3.92,7.5,9.499
1.1,6.842,7.063,3.995,7.59,9.595
1.2,6.776,7.13,4.073,7.675,9.689
1.3,6.705,7.193,4.154,7.755,9.778
1.4,6.63,7.254,4.237,7.829,9.863
1.5,6.551,7.308,4.321,7.896,9.943
1.6,6.468,7.353,4.407,7.957,10.016
1.7,6.383,7.391,4.493,8.01,10.083
1.8,6.295,7.421,4.581,8.056,10.143
1.9,6.205,7.442,4.67,8.093,10.195
2.0,6.114,7.455,4.759,8.123,10.239
2.1,6.021,7.459,4.85,8.144,10.275
2.2,5.927,7.454,4.941,8.157,10.302
2.3,5.833,7.441,5.031,8.164,10.32
2.4,5.737,7.419,5.109,8.164,10.33
2.5,5.641,7.389,5.177,8.159,10.33
2.6,5.544,7.35,5.234,8.147,10.321
2.7,5.446,7.304,5.282,8.128,10.304
2.8,5.349,7.25,5.324,8.104,10.277
2.9,5.25,7.189,5.362,8.075,10.243
3.0,5.152,7.121,5.397,8.041,10.203
3.1,5.053,7.046,5.464,8.004,10.156
3.2,4.955,6.966,5.527,7.963,10.103
3.3,4.855,6.882,5.583,7.919,10.047
3.4,4.756,6.795,5.632,7.871,9.986
3.5,4.657,6.705,5.674,7.822,9.921
3.6,4.558,6.617,5.706,7.768,9.853
3.7,4.458,6.538,5.728,7.711,9.78
3.8,4.358,6.467,5.74,7.65,9.705
3.9,4.259,6.403,5.749,7.586,9.626
4.0,4.159,6.347,5.75,7.52,9.546
4.1,4.059,6.297,5.742,7.451,9.463
4.2,3.96,6.25,5.726,7.38,9.378
4.3,3.86,6.206,5.703,7.308,9.292
4.4,3.76,6.161,5.671,7.234,9.205
4.5,3.66,6.113,5.631,7.158,9.116
4.6,3.56,6.061,5.584,7.082,9.026
4.7,3.46,6.004,5.529,7.002,8.935
4.8,3.36,5.942,5.468,6.92,8.843
4.9,3.261,5.842,5.4,6.837,8.749
5.0,3.161,5.743,5.325,6.751,8.655
5.1,3.061,5.643,5.247,6.664,8.561
5.2,2.961,5.543,5.166,6.575,8.467
5.3,2.861,5.444,5.081,6.486,8.372
5.4,2.761,5.344,4.993,6.395,8.277
5.5,2.661,5.244,4.903,6.303,8.181
5.6,2.561,5.144,4.811,6.211,8.086
5.7,2.461,5.044,4.717,6.117,7.99
5.8,2.361,4.944,4.622,6.024,7.894
5.9,2.261,4.844,4.525,5.929,7.797
6.0,2.161,4.744,4.427,5.834,7.7
6.1,2.061,4.644,4.328,5.739,7.602
6.2,1.961,4.545,4.228,5.643,7.504
6.3,1.861,4.445,4.128,5.548,7.407
6.4,1.761,4.346,4.028,5.453,7.309
6.5,1.661,4.246,3.929,5.357,7.211
6.6,1.561,4.148,3.83,5.261,7.114
6.7,1.461,4.049,3.732,5.165,7.016
6.8,1.361,3.951,3.635,5.068,6.919
6.9,1.261,3.853,3.538,4.971,6.822
7.0,1.161,3.756,3.441,4.873,6.724
7.1,1.061,3.66,3.345,4.776,6.627
7.2,0.961,3.563,3.249,4.678,6.531
7.3,0.865,3.465,3.153,4.58,6.433
7.4,0.778,3.367,3.058,4.481,6.335
7.5,0.701,3.268,2.964,4.383,6.237
7.6,0.631,3.169,2.869,4.285,6.139
7.7,0.568,3.069,2.772,4.188,6.041
7.8,0.511,2.97,2.675,4.093,5.944
7.9,0.46,2.87,2.577,3.998,5.847
8.0,0.414,2.817,2.479,3.903,5.75
8.1,0.372,2.765,2.382,3.808,5.653
8.2,0.335,2.713,2.285,3.713,5.557
8.3,0.302,2.662,2.189,3.623,5.461
8.4,0.271,2.611,2.093,3.537,5.365
8.5,0.244,2.559,1.998,3.454,5.269
8.6,0.22,2.506,1.904,3.375,5.174
8.7,0.198,2.452,1.811,3.298,5.08
8.8,0.178,2.396,1.718,3.224,4.984
8.9,0.16,2.338,1.627,3.151,4.887
9.0,0.144,2.279,1.538,3.08,4.79
9.1,0.13,2.217,1.447,3.011,4.694
9.2,0.117,2.153,1.357,2.942,4.598
9.3,0.105,2.087,1.265,2.874,4.503
9.4,22.735,21.487,22.106,20.776,19.665
9.5,22.811,21.539,22.183,20.831,19.751
9.6,22.88,21.594,22.258,20.886,19.837
9.7,22.942,21.651,22.333,20.942,19.924
9.8,22.996,21.709,22.406,20.998,20.012
9.9,23.042,21.77,22.478,21.055,20.099
10.0,23.079,21.833,22.549,21.113,20.188
10.1,23.107,21.897,22.618,21.172,20.276
10.2,23.125,21.964,22.684,21.231,20.362
10.3,23.134,22.03,22.748,21.292,20.447
10.4,23.134,22.096,22.81,21.353,20.529
10.5,23.124,22.161,22.869,21.416,20.609
10.6,23.104,22.226,22.926,21.479,20.686
10.7,23.076,22.289,22.981,21.544,20.762
10.8,23.038,22.352,23.032,21.609,20.835
10.9,22.991,22.414,23.082,21.676,20.905
11.0,22.936,22.474,23.128,21.743,20.973
11.1,22.874,22.534,23.172,21.812,21.038
11.2,22.805,22.592,23.213,21.882,21.099
11.3,22.731,22.649,23.25,21.952,21.157
11.4,22.652,22.704,23.279,22.022,21.209
11.5,22.569,22.757,23.298,22.091,21.264
11.6,22.483,22.804,23.307,22.159,21.32
11.7,22.395,22.843,23.307,22.226,21.378
11.8,22.305,22.877,23.298,22.291,21.438
11.9,22.212,22.904,23.279,22.355,21.499
12.0,22.119,22.924,23.251,22.417,21.561
12.1,22.024,22.939,23.214,22.478,21.625
12.2,21.929,22.948,23.168,22.536,21.691
12.3,21.832,22.952,23.114,22.593,21.757
12.4,21.735,22.95,23.053,22.647,21.825
12.5,21.637,22.944,22.984,22.7,21.894
12.6,21.539,22.933,22.909,22.75,21.964
12.7,21.441,22.918,22.828,22.793,22.032
12.8,21.342,22.899,22.745,22.831,22.099
12.9,21.243,22.876,22.658,22.862,22.164
13.0,21.144,22.85,22.57,22.888,22.227
13.1,21.045,22.821,22.479,22.908,22.288
13.2,20.946,22.788,22.387,22.922,22.348
13.3,20.846,22.751,22.293,22.932,22.406
13.4,20.746,22.711,22.198,22.936,22.462
13.5,20.647,22.668,22.102,22.936,22.516
13.6,20.547,22.621,22.004,22.932,22.569
13.7,20.447,22.571,21.906,22.924,22.62
13.8,20.347,22.518,21.807,22.912,22.669
13.9,20.248,22.462,21.709,22.897,22.712
14.0,20.148,22.402,21.61,22.877,22.75
14.1,20.048,22.34,21.512,22.855,22.782
14.2,19.948,22.276,21.413,22.829,22.809
14.3,19.848,22.208,21.315,22.8,22.831
14.4,19.748,22.137,21.216,22.767,22.848
14.5,19.648,22.064,21.118,22.732,22.86
14.6,19.548,21.988,21.019,22.692,22.868
14.7,19.448,21.909,20.92,22.649,22.871
14.8,19.348,21.828,20.822,22.602,22.871
14.9,19.248,21.746,20.725,22.552,22.866
15.0,19.148,21.663,20.626,22.498,22.858
15.1,19.048,21.578,20.527,22.441,22.846
15.2,18.948,21.493,20.427,22.38,22.831
15.3,18.848,21.406,20.327,22.317,22.812
15.4,18.748,21.319,20.227,22.25,22.79
15.5,18.648,21.231,20.127,22.181,22.765
15.6,18.548,21.143,20.028,22.109,22.736
15.7,18.448,21.053,19.928,22.035,22.703
15.8,18.348,20.963,19.829,21.958,22.667
15.9,18.248,20.872,19.73,21.878,22.627
16.0,18.148,20.78,19.63,21.798,22.582
16.1,18.048,20.686,19.531,21.716,22.533
16.2,17.948,20.591,19.431,21.634,22.48
16.3,17.848,20.494,19.331,21.55,22.423
16.4,17.748,20.398,19.231,21.466,22.364
16.5,17.648,20.3,19.131,21.381,22.3
16.6,17.548,20.202,19.031,21.294,22.234
16.7,17.448,20.105,18.931,21.207,22.165
16.8,17.348,20.007,18.831,21.119,22.093
16.9,17.248,19.909,18.731,21.031,22.018
17.0,17.148,19.812,18.631,20.941,21.941
17.1,17.048,19.714,18.532,20.851,21.861
17.2,16.948,19.617,18.432,20.759,21.78
17.3,16.848,19.518,18.332,20.665,21.698
17.4,16.748,19.42,18.232,20.57,21.615
17.5,16.648,19.321,18.132,20.475,21.531
17.6,16.548,19.222,18.032,20.378,21.447
17.7,16.448,19.123,17.932,20.281,21.361
17.8,16.348,19.024,17.833,20.184,21.275
17.9,16.248,18.924,17.733,20.087,21.188
18.0,16.148,18.825,17.634,19.99,21.1
18.1,16.048,18.726,17.535,19.893,21.011
18.2,15.948,18.627,17.437,19.797,20.922
18.3,15.848,18.528,17.338,19.701,20.83
18.4,15.748,18.428,17.239,19.604,20.738
18.5,15.648,18.329,17.14,19.506,20.645
18.6,15.548,18.229,17.04,19.409,20.55
18.7,15.448,18.13,16.94,19.311,20.455
18.8,15.348,18.031,16.84,19.213,20.359
18.9,15.248,17.932,16.74,19.114,20.263
19.0,15.148,17.833,16.64,19.016,20.167
19.1,15.048,17.734,16.54,18.917,20.071
19.2,14.948,17.636,16.441,18.818,19.975
19.3,14.848,17.537,16.342,18.72,19.879
19.4,14.748,17.439,16.242,18.621,19.784
19.5,14.648,17.341,16.143,18.522,19.689
19.6,14.548,17.242,16.043,18.423,19.592
19.7,14.448,17.142,15.943,18.324,19.496
19.8,14.348,17.042,15.843,18.225,19.399
19.9,14.248,16.942,15.743,18.126,19.301
20.0,14.148,16.842,15.643,18.027,19.204
20.1,14.048,16.742,15.543,17.928,19.106
20.2,13.948,16.643,15.443,17.83,19.008
20.3,13.848,16.543,15.344,17.731,18.91
20.4,13.748,16.444,15.244,17.633,18.811
20.5,13.648,16.345,15.145,17.536,18.713
20.6,13.548,16.246,15.045,17.438,18.615
20.7,13.448,16.146,14.945,17.34,18.516
20.8,13.348,16.047,14.845,17.241,18.418
20.9,13.248,15.947,14.745,17.142,18.319
21.0,13.148,15.847,14.645,17.042,18.221
21.1,13.048,15.747,14.545,16.942,18.122
21.2,12.948,15.647,14.445,16.843,18.023
21.3,12.848,15.547,14.346,16.743,17.925
21.4,12.748,15.447,14.247,16.643,17.827
21.5,12.648,15.347,14.148,16.543,17.728
21.6,12.548,15.248,14.05,16.444,17.631
21.7,12.448,15.148,13.951,16.346,17.533
21.8,12.348,15.048,13.852,16.247,17.436
21.9,12.248,14.948,13.752,16.148,17.338
22.0,12.148,14.848,13.652,16.048,17.239
22.1,12.048,14.748,13.553,15.948,17.14
22.2,11.948,14.648,13.453,15.848,17.041
22.3,11.848,14.548,13.353,15.748,16.941
22.4,11.748,14.449,13.253,15.648,16.841
22.5,11.648,14.349,13.153,15.548,16.742
22.6,11.548,14.25,13.053,15.449,16.642
22.7,11.448,14.152,12.954,15.349,16.543
22.8,11.348,14.054,12.854,15.25,16.444
22.9,11.248,13.955,12.754,15.15,16.346
23.0,11.148,13.856,12.654,15.05,16.247
23.1,11.048,13.756,12.554,14.95,16.148
23.2,10.948,13.656,12.454,14.85,16.049
23.3,10.848,13.556,12.354,14.75,15.949
23.4,10.748,13.456,12.254,14.65,15.849
23.5,10.648,13.356,12.154,14.551,15.749
23.6,10.548,13.256,12.055,14.451,15.649
23.7,10.448,13.157,11.956,14.352,15.549
23.8,10.348,13.057,11.857,14.253,15.45
23.9,10.248,12.958,11.757,14.154,15.35
24.0,10.148,12.858,11.658,14.056,15.251
24.1,10.048,12.759,11.558,13.958,15.151
24.2,9.948,12.659,11.458,13.859,15.052
24.3,9.848,12.559,11.358,13.759,14.952
24.4,9.748,12.459,11.258,13.659,14.852
24.5,9.648,12.359,11.158,13.559,14.752
24.6,9.548,12.259,11.058,13.459,14.652
24.7,9.448,12.159,10.959,13.359,14.553
24.8,9.348,12.06,10.859,13.259,14.453
24.9,9.248,11.96,10.76,13.16,14.354
25.0,9.148,11.861,10.661,13.06,14.255
25.1,9.048,11.762,10.561,12.961,14.157
25.2,8.948,11.662,10.461,12.862,14.059
25.3,8.848,11.562,10.361,12.762,13.96
25.4,8.748,11.463,10.261,12.662,13.861
25.5,8.648,11.363,10.161,12.562,13.761
25.6,8.548,11.263,10.061,12.462,13.662
25.7,8.448,11.163,9.961,12.362,13.562
25.8,8.348,11.063,9.862,12.262,13.462
25.9,8.248,10.963,9.762,12.162,13.362
26.0,8.148,10.863,9.663,12.063,13.262
26.1,8.048,10.764,9.564,11.963,13.162
26.2,7.948,10.665,9.464,11.864,13.063
26.3,7.848,10.565,9.365,11.765,12.964
26.4,7.748,10.465,9.265,11.665,12.864
26.5,7.648,10.365,9.165,11.566,12.764
26.6,7.548,10.265,9.065,11.466,12.665
26.7,7.448,10.165,8.965,11.366,12.565
26.8,7.348,10.065,8.865,11.266,12.465
26.9,7.248,9.965,8.765,11.166,12.365
27.0,7.148,9.866,8.665,11.066,12.265
27.1,7.048,9.767,8.566,10.966,12.165
27.2,6.948,9.668,8.467,10.867,12.065
27.3,6.848,9.569,8.367,10.767,11.966
27.4,6.748,9.469,8.268,10.668,11.867
27.5,6.648,9.369,8.168,10.568,11.768
27.6,6.548,9.27,8.068,10.468,11.668
27.7,6.448,9.17,7.968,10.368,11.568
27.8,6.348,9.07,7.868,10.268,11.468
27.9,6.248,8.97,7.768,10.168,11.368
28.0,6.148,8.87,7.668,10.068,11.268
28.1,6.048,8.77,7.569,9.969,11.169
28.2,5.948,8.67,7.47,9.869,11.069
28.3,5.848,8.571,7.372,9.77,10.969
28.4,5.748,8.471,7.273,9.671,10.869
28.5,5.648,8.372,7.174,9.572,10.77
28.6,5.548,8.272,7.074,9.472,10.671
28.7,5.448,8.172,6.975,9.373,10.571
28.8,5.348,8.072,6.875,9.273,10.471
28.9,5.248,7.972,6.775,9.173,10.371
29.0,5.148,7.872,6.675,9.073,10.271
29.1,5.048,7.773,6.575,8.973,10.171
29.2,4.948,7.673,6.475,8.873,10.071
29.3,4.848,7.574,6.375,8.773,9.972
29.4,4.748,7.475,6.276,8.673,9.872
29.5,4.648,7.376,6.176,8.574,9.773
29.6,4.548,7.277,6.076,8.475,9.674
29.7,4.448,7.178,5.976,8.376,9.575
29.8,4.348,7.079,5.876,8.276,9.475
29.9,4.248,6.979,5.776,8.176,9.376
30.0,4.148,6.879,5.676,8.076,9.276
30.1,4.048,6.779,5.576,7.976,9.176
30.2,3.948,6.679,5.476,7.876,9.076
30.3,3.848,6.579,5.376,7.776,8.976
30.4,3.748,6.479,5.277,7.677,8.876
