t,d_r0_r1,d_r1_r2,d_r2_r3,d_r3_r4
0.1,6.704,1.506,2.596,3.115
0.2,6.704,1.506,2.596,3.115
0.3,6.703,1.506,2.596,3.1
0.4,6.701,1.506,2.596,3.069
0.5,6.699,1.506,2.596,3.024
0.6,6.697,1.506,2.596,2.965
0.7,6.696,1.506,2.596,2.894
0.8,6.696,1.506,2.596,2.812
0.9,6.699,1.506,2.596,2.722
1.0,6.705,1.506,2.596,2.625
1.1,6.716,1.506,2.596,2.524
1.2,6.73,1.506,2.596,2.422
1.3,6.748,1.506,2.596,2.322
1.4,6.77,1.506,2.596,2.229
1.5,6.796,1.506,2.596,2.145
1.6,6.824,1.506,2.596,2.074
1.7,6.853,1.506,2.596,2.02
1.8,6.885,1.506,2.596,1.984
1.9,6.917,1.506,2.596,1.968
2.0,6.949,1.506,2.596,1.971
2.1,6.981,1.506,2.596,1.991
2.2,7.011,1.506,2.596,2.026
2.3,7.041,1.506,2.596,2.073
2.4,7.068,1.506,2.596,2.128
2.5,7.093,1.506,2.596,2.187
2.6,7.115,1.506,2.596,2.247
2.7,7.134,1.506,2.596,2.306
2.8,7.149,1.506,2.597,2.362
2.9,7.162,1.504,2.597,2.416
3.0,7.171,1.501,2.598,2.465
3.1,7.178,1.496,2.598,2.51
3.2,7.183,1.491,2.599,2.55
3.3,7.186,1.484,2.598,2.586
3.4,7.187,1.476,2.597,2.618
3.5,7.188,1.468,2.595,2.646
3.6,7.188,1.459,2.591,2.67
3.7,7.186,1.45,2.587,2.691
3.8,7.184,1.441,2.582,2.71
3.9,7.181,1.432,2.578,2.728
4.0,7.178,1.423,2.573,2.746
4.1,7.174,1.414,2.569,2.763
4.2,7.17,1.405,2.563,2.779
4.3,7.166,1.396,2.557,2.793
4.4,7.163,1.387,2.549,2.805
4.5,7.159,1.379,2.54,2.817
4.6,7.155,1.371,2.53,2.827
4.7,7.151,1.363,2.52,2.836
4.8,7.147,1.356,2.509,2.845
4.9,7.143,1.349,2.5,2.854
5.0,7.139,1.344,2.492,2.864
5.1,7.136,1.34,2.486,2.874
5.2,7.132,1.336,2.481,2.885
5.3,7.129,1.333,2.477,2.897
5.4,7.126,1.331,2.475,2.909
5.5,7.124,1.328,2.472,2.922
5.6,7.121,1.325,2.47,2.936
5.7,7.119,1.321,2.468,2.949
5.8,7.117,1.317,2.466,2.963
5.9,7.115,1.314,2.465,2.976
6.0,7.113,1.312,2.461,2.987
6.1,7.111,1.311,2.456,2.995
6.2,7.11,1.31,2.447,3.001
6.3,7.109,1.309,2.437,3.005
6.4,7.108,1.309,2.423,3.009
6.5,7.107,1.309,2.407,3.011
6.6,7.107,1.309,2.388,3.013
6.7,7.106,1.31,2.365,3.015
6.8,7.106,1.309,2.339,3.015
6.9,7.105,1.309,2.307,3.016
7.0,7.105,1.307,2.271,3.016
7.1,7.105,1.305,2.23,3.016
7.2,7.105,1.303,2.184,3.016
7.3,7.102,1.3,2.134,3.016
7.4,7.089,1.297,2.083,3.016
7.5,7.068,1.297,2.029,3.017
7.6,7.04,1.297,1.974,3.018
7.7,7.005,1.298,1.917,3.02
7.8,6.963,1.299,1.858,3.023
7.9,6.916,1.3,1.797,3.027
8.0,6.864,1.302,1.735,3.032
8.1,6.808,1.304,1.67,3.04
8.2,6.747,1.304,1.601,3.05
8.3,6.683,1.304,1.538,3.058
8.4,6.615,1.302,1.48,3.064
8.5,6.544,1.299,1.428,3.07
8.6,6.471,1.296,1.382,3.07
8.7,6.395,1.291,1.342,3.063
8.8,6.317,1.285,1.307,3.05
8.9,6.238,1.282,1.28,3.03
9.0,6.159,1.283,1.257,3.005
9.1,6.077,1.283,1.24,2.974
9.2,5.995,1.285,1.227,2.938
9.3,5.91,1.287,1.215,2.897
9.4,5.825,1.289,1.205,2.853
9.5,5.828,1.291,1.195,2.812
9.6,5.831,1.291,1.186,2.774
9.7,5.834,1.289,1.178,2.739
9.8,5.835,1.286,1.173,2.706
9.9,5.835,1.281,1.169,2.676
10.0,5.835,1.275,1.168,2.648
10.1,5.833,1.267,1.168,2.621
10.2,5.83,1.259,1.171,2.597
10.3,5.827,1.253,1.175,2.573
10.4,5.822,1.247,1.18,2.551
10.5,5.817,1.243,1.185,2.529
10.6,5.812,1.241,1.19,2.508
10.7,5.807,1.24,1.194,2.489
10.8,5.802,1.239,1.198,2.471
10.9,5.797,1.24,1.2,2.454
11.0,5.792,1.241,1.202,2.438
11.1,5.787,1.243,1.202,2.424
11.2,5.783,1.246,1.202,2.412
11.3,5.78,1.249,1.201,2.402
11.4,5.777,1.253,1.199,2.394
11.5,5.775,1.257,1.196,2.39
11.6,5.774,1.262,1.195,2.387
11.7,5.774,1.267,1.194,2.385
11.8,5.776,1.273,1.194,2.383
11.9,5.776,1.277,1.194,2.383
12.0,5.775,1.279,1.195,2.383
12.1,5.773,1.28,1.195,2.384
12.2,5.77,1.28,1.196,2.386
12.3,5.767,1.278,1.197,2.387
12.4,5.763,1.276,1.197,2.39
12.5,5.758,1.273,1.199,2.392
12.6,5.753,1.27,1.2,2.395
12.7,5.747,1.267,1.202,2.397
12.8,5.741,1.266,1.203,2.399
12.9,5.734,1.266,1.205,2.402
13.0,5.728,1.267,1.206,2.403
13.1,5.723,1.268,1.207,2.405
13.2,5.719,1.27,1.208,2.407
13.3,5.717,1.27,1.208,2.408
13.4,5.716,1.271,1.209,2.409
13.5,5.717,1.27,1.209,2.41
13.6,5.719,1.27,1.209,2.411
13.7,5.723,1.269,1.209,2.411
13.8,5.729,1.267,1.21,2.411
13.9,5.738,1.265,1.21,2.411
14.0,5.748,1.264,1.21,2.411
14.1,5.759,1.262,1.21,2.41
14.2,5.769,1.26,1.211,2.407
14.3,5.78,1.258,1.211,2.404
14.4,5.79,1.256,1.211,2.398
14.5,5.801,1.254,1.211,2.393
14.6,5.811,1.253,1.211,2.388
14.7,5.821,1.251,1.211,2.383
14.8,5.831,1.249,1.211,2.378
14.9,5.84,1.247,1.211,2.374
15.0,5.85,1.246,1.211,2.37
15.1,5.859,1.245,1.211,2.367
15.2,5.867,1.245,1.211,2.364
15.3,5.872,1.245,1.211,2.362
15.4,5.868,1.245,1.211,2.36
15.5,5.854,1.245,1.211,2.36
15.6,5.831,1.245,1.211,2.359
15.7,5.801,1.245,1.211,2.358
15.8,5.764,1.246,1.211,2.353
15.9,5.72,1.246,1.21,2.344
16.0,5.671,1.246,1.209,2.331
16.1,5.617,1.246,1.208,2.314
16.2,5.558,1.246,1.206,2.292
16.3,5.495,1.247,1.204,2.267
16.4,5.428,1.247,1.201,2.238
16.5,5.359,1.247,1.199,2.205
16.6,5.286,1.247,1.197,2.169
16.7,5.211,1.247,1.195,2.13
16.8,5.134,1.247,1.196,2.087
16.9,5.054,1.246,1.199,2.042
