t,goalDist_0,goalDist_1,goalDist_2,goalDist_3,goalDist_4
0.1,7.071,10.19,8.967,7.348,8.506
0.2,7.086,10.266,9.048,7.413,8.539
0.3,7.092,10.348,9.135,7.485,8.563
0.4,7.09,10.436,9.227,7.565,8.579
0.5,7.079,10.528,9.323,7.65,8.586
0.6,7.06,10.624,9.421,7.741,8.584
0.7,7.032,10.722,9.52,7.836,8.573
0.8,6.996,10.822,9.62,7.933,8.554
0.9,6.952,10.922,9.72,8.032,8.526
1.0,6.9,11.021,9.818,8.132,8.489
1.1,6.842,11.119,9.913,8.232,8.445
1.2,6.776,11.214,10.006,8.33,8.392
1.3,6.705,11.306,10.094,8.427,8.332
1.4,6.63,11.394,10.178,8.52,8.265
1.5,6.551,11.477,10.256,8.61,8.192
1.6,6.468,11.554,10.327,8.695,8.112
1.7,6.383,11.625,10.392,8.774,8.028
1.8,6.295,11.689,10.45,8.848,7.938
1.9,6.205,11.745,10.5,8.915,7.845
2.0,6.114,11.794,10.542,8.975,7.749
2.1,6.021,11.834,10.575,9.028,7.651
2.2,5.927,11.866,10.6,9.072,7.552
2.3,5.833,11.889,10.616,9.109,7.452
2.4,5.737,11.903,10.622,9.137,7.352
2.5,5.641,11.907,10.62,9.156,7.253
2.6,5.544,11.903,10.609,9.167,7.153
2.7,5.446,11.889,10.589,9.168,7.055
2.8,5.349,11.867,10.56,9.161,6.957
2.9,5.25,11.835,10.524,9.145,6.859
3.0,5.152,11.796,10.481,9.12,6.761
3.1,5.053,11.749,10.432,9.087,6.664
3.2,4.955,11.696,10.379,9.045,6.568
3.3,4.855,11.637,10.321,8.997,6.472
3.4,4.756,11.574,10.258,8.943,6.377
3.5,4.657,11.506,10.193,8.884,6.282
3.6,4.558,11.434,10.123,8.819,6.188
3.7,4.458,11.359,10.05,8.751,6.095
3.8,4.358,11.28,9.974,8.681,6.003
3.9,4.259,11.199,9.896,8.609,5.909
4.0,4.159,11.115,9.815,8.535,5.815
4.1,4.059,11.029,9.732,8.46,5.719
4.2,3.96,10.941,9.647,8.382,5.623
4.3,3.86,10.852,9.561,8.302,5.525
4.4,3.76,10.762,9.473,8.219,5.427
4.5,3.66,10.67,9.385,8.134,5.329
4.6,3.56,10.578,9.295,8.048,5.23
4.7,3.46,10.485,9.204,7.96,5.131
4.8,3.36,10.39,9.112,7.871,5.031
4.9,3.261,10.295,9.019,7.782,4.931
5.0,3.161,10.2,8.925,7.693,4.831
5.1,3.061,10.104,8.83,7.605,4.731
5.2,2.961,10.008,8.734,7.516,4.631
5.3,2.861,9.911,8.638,7.428,4.531
5.4,2.761,9.815,8.541,7.34,4.431
5.5,2.661,9.718,8.445,7.252,4.331
5.6,2.561,9.621,8.348,7.165,4.231
5.7,2.461,9.523,8.252,7.078,4.132
5.8,2.361,9.426,8.155,6.991,4.032
5.9,2.261,9.328,8.058,6.904,3.933
6.0,2.161,9.231,7.961,6.815,3.834
6.1,2.061,9.133,7.863,6.724,3.736
6.2,1.961,9.036,7.765,6.632,3.637
6.3,1.861,8.938,7.667,6.538,3.539
6.4,1.761,8.84,7.569,6.443,3.44
6.5,1.661,8.743,7.47,6.346,3.341
6.6,1.561,8.645,7.371,6.249,3.241
6.7,1.461,8.547,7.273,6.15,3.142
6.8,1.361,8.449,7.174,6.052,3.042
6.9,1.261,8.351,7.076,5.952,2.942
7.0,1.161,8.253,6.978,5.852,2.842
7.1,1.061,8.155,6.88,5.752,2.742
7.2,0.961,8.056,6.782,5.652,2.642
7.3,0.865,7.958,6.685,5.553,2.542
7.4,0.778,7.86,6.587,5.453,2.443
7.5,0.701,7.762,6.489,5.355,2.343
7.6,0.631,7.665,6.391,5.257,2.243
7.7,0.568,7.568,6.293,5.16,2.143
7.8,0.511,7.471,6.194,5.064,2.043
7.9,0.46,7.373,6.095,4.969,1.943
8.0,0.414,7.276,5.996,4.876,1.844
8.1,0.372,7.178,5.897,4.784,1.744
8.2,0.335,7.081,5.799,4.694,1.646
8.3,0.302,6.983,5.701,4.603,1.548
8.4,0.271,6.886,5.603,4.51,1.451
8.5,0.244,6.788,5.506,4.415,1.354
8.6,0.22,6.69,5.41,4.319,1.261
8.7,0.198,6.593,5.314,4.222,1.175
8.8,0.178,6.495,5.22,4.124,1.093
8.9,0.16,6.398,5.125,4.025,1.017
9.0,0.144,6.303,5.028,3.926,0.945
9.1,0.13,6.207,4.931,3.826,0.878
9.2,0.117,6.111,4.834,3.726,0.816
9.3,0.105,6.015,4.736,3.626,0.757
9.4,6.633,11.646,10.418,9.61,7.216
9.5,6.555,11.567,10.338,9.518,7.165
9.6,6.475,11.488,10.261,9.426,7.111
9.7,6.391,11.408,10.186,9.334,7.054
9.8,6.305,11.329,10.113,9.242,6.994
9.9,6.216,11.249,10.043,9.15,6.931
10.0,6.126,11.169,9.974,9.058,6.865
10.1,6.034,11.088,9.907,8.966,6.797
10.2,5.941,11.008,9.843,8.875,6.726
10.3,5.846,10.927,9.776,8.783,6.653
10.4,5.751,10.846,9.707,8.693,6.578
10.5,5.655,10.765,9.636,8.604,6.501
10.6,5.559,10.685,9.564,8.517,6.422
10.7,5.462,10.606,9.489,8.431,6.342
10.8,5.364,10.527,9.413,8.347,6.26
10.9,5.266,10.448,9.336,8.265,6.176
11.0,5.168,10.37,9.257,8.184,6.092
11.1,5.069,10.292,9.176,8.106,6.006
11.2,4.971,10.215,9.094,8.029,5.919
11.3,4.872,10.138,9.011,7.954,5.83
11.4,4.773,10.062,8.927,7.882,5.741
11.5,4.673,9.986,8.842,7.811,5.652
11.6,4.574,9.911,8.755,7.74,5.561
11.7,4.475,9.837,8.669,7.666,5.471
11.8,4.375,9.763,8.585,7.592,5.379
11.9,4.275,9.687,8.501,7.516,5.288
12.0,4.176,9.608,8.419,7.439,5.196
12.1,4.076,9.527,8.338,7.361,5.103
12.2,3.976,9.444,8.258,7.282,5.01
12.3,3.877,9.358,8.179,7.201,4.917
12.4,3.777,9.271,8.102,7.119,4.823
12.5,3.677,9.183,8.026,7.037,4.729
12.6,3.577,9.092,7.951,6.952,4.636
12.7,3.477,9.0,7.877,6.867,4.542
12.8,3.377,8.907,7.802,6.779,4.447
12.9,3.277,8.812,7.726,6.691,4.353
13.0,3.177,8.718,7.648,6.601,4.259
13.1,3.077,8.625,7.569,6.511,4.164
13.2,2.978,8.533,7.488,6.419,4.07
13.3,2.878,8.442,7.406,6.326,3.975
13.4,2.778,8.353,7.324,6.232,3.881
13.5,2.678,8.265,7.24,6.137,3.786
13.6,2.578,8.178,7.154,6.041,3.692
13.7,2.478,8.093,7.068,5.944,3.599
13.8,2.378,8.01,6.98,5.847,3.506
13.9,2.278,7.928,6.891,5.75,3.411
14.0,2.178,7.848,6.801,5.653,3.313
14.1,2.078,7.768,6.71,5.555,3.215
14.2,1.978,7.686,6.618,5.458,3.115
14.3,1.878,7.604,6.526,5.36,3.015
14.4,1.778,7.521,6.432,5.262,2.915
14.5,1.678,7.437,6.337,5.163,2.816
14.6,1.578,7.353,6.242,5.065,2.716
14.7,1.478,7.268,6.146,4.966,2.616
14.8,1.378,7.182,6.05,4.868,2.517
14.9,1.278,7.096,5.952,4.77,2.417
15.0,1.178,7.008,5.855,4.671,2.318
15.1,1.078,6.92,5.757,4.573,2.219
15.2,0.978,6.831,5.659,4.476,2.12
15.3,0.88,6.741,5.562,4.378,2.021
15.4,0.792,6.65,5.464,4.281,1.923
15.5,0.713,6.559,5.366,4.184,1.825
15.6,0.642,6.466,5.268,4.087,1.728
15.7,0.577,6.373,5.169,3.99,1.633
15.8,0.52,6.279,5.071,3.893,1.541
15.9,0.468,6.184,4.972,3.794,1.452
16.0,0.421,6.089,4.874,3.695,1.366
16.1,0.379,5.993,4.776,3.595,1.284
16.2,0.341,5.896,4.678,3.495,1.205
16.3,0.307,5.8,4.58,3.395,1.13
16.4,0.276,5.703,4.483,3.295,1.059
16.5,0.249,5.606,4.385,3.196,0.992
16.6,0.224,5.509,4.288,3.097,0.928
16.7,0.201,5.412,4.192,2.998,0.869
16.8,0.181,5.314,4.096,2.9,0.813
16.9,0.163,5.217,4.0,2.802,0.761
17.0,0.147,5.119,3.903,2.703,0.713
17.1,0.132,5.021,3.804,2.605,0.668
17.2,0.119,4.923,3.705,2.506,0.628
17.3,0.107,4.825,3.606,2.407,0.591
17.4,5.805,1.945,2.871,3.744,5.422
17.5,5.898,2.012,2.943,3.825,5.468
17.6,5.988,2.082,3.013,3.908,5.519
17.7,6.073,2.154,3.082,3.992,5.574
17.8,6.153,2.228,3.15,4.077,5.664
17.9,6.227,2.305,3.217,4.163,5.751
18.0,6.295,2.383,3.286,4.252,5.842
18.1,6.357,2.463,3.356,4.342,5.937
18.2,6.411,2.541,3.429,4.434,6.035
18.3,6.458,2.618,3.504,4.528,6.134
18.4,6.497,2.693,3.581,4.623,6.234
18.5,6.528,2.767,3.659,4.719,6.334
18.6,6.551,2.839,3.739,4.816,6.432
18.7,6.566,2.91,3.82,4.914,6.528
18.8,6.572,2.98,3.903,5.012,6.621
18.9,6.569,3.049,3.986,5.112,6.71
19.0,6.559,3.116,4.071,5.21,6.794
19.1,6.539,3.182,4.158,5.308,6.873
19.2,6.512,3.247,4.246,5.405,6.946
19.3,6.476,3.314,4.336,5.502,7.013
19.4,6.433,3.384,4.428,5.597,7.073
19.5,6.382,3.457,4.521,5.691,7.126
19.6,6.323,3.531,4.616,5.785,7.171
19.7,6.259,3.607,4.712,5.877,7.208
19.8,6.188,3.686,4.809,5.969,7.237
19.9,6.114,3.766,4.907,6.059,7.26
20.0,6.035,3.847,5.005,6.147,7.278
20.1,5.953,3.93,5.104,6.231,7.291
20.2,5.868,4.015,5.202,6.307,7.299
20.3,5.78,4.101,5.299,6.374,7.303
20.4,5.691,4.189,5.394,6.432,7.302
20.5,5.6,4.279,5.486,6.483,7.296
